========  INTERPOL INTERPRETER STARTED   ========

Enter INTERPOL file (.ipol): 
================ INTERPOL OUTPUT ================

----------------  OUTPUT START  ---------------->

<----------------- OUTPUT END -------------------

========= INTERPOL LEXEMES/TOKENS TABLE =========

LINE NO.  TOKENS                          LEXEMES
1         PROGRAM_BEGIN                   BEGIN
1         END_OF_STATEMENT                EOS
2         BASIC_OPERATOR_ADD              ADD
2         NUMBER                          1
2         BASIC_OPERATOR_ADD              ADD
2         NUMBER                          1
2         NUMBER                          2
2         END_OF_STATEMENT                EOS
3         BASIC_OPERATOR_ADD              ADD
3         NUMBER                          1
3         BASIC_OPERATOR_ADD              ADD
3         NUMBER                          1
3         BASIC_OPERATOR_ADD              ADD
3         NUMBER                          1
3         NUMBER                          2
3         END_OF_STATEMENT                EOS
4         BASIC_OPERATOR_ADD              ADD
4         NUMBER                          1
4         BASIC_OPERATOR_ADD              ADD
4         NUMBER                          1
4         BASIC_OPERATOR_ADD              ADD
4         NUMBER                          1
4         BASIC_OPERATOR_ADD              ADD
4         NUMBER                          1
4         NUMBER                          2
4         END_OF_STATEMENT                EOS
5         BASIC_OPERATOR_ADD              ADD
5         BASIC_OPERATOR_ADD              ADD
5         NUMBER                          1
5         NUMBER                          2
5         BASIC_OPERATOR_ADD              ADD
5         NUMBER                          1
5         NUMBER                          2
5         END_OF_STATEMENT                EOS
6         BASIC_OPERATOR_ADD              ADD
6         BASIC_OPERATOR_ADD              ADD
6         NUMBER                          1
6         NUMBER                          2
6         BASIC_OPERATOR_ADD              ADD
6         NUMBER                          1
6         BASIC_OPERATOR_ADD              ADD
6         NUMBER                          1
6         NUMBER                          2
6         END_OF_STATEMENT                EOS
7         BASIC_OPERATOR_ADD              ADD
7         BASIC_OPERATOR_ADD              ADD
7         NUMBER                          1
7         BASIC_OPERATOR_ADD              ADD
7         NUMBER                          1
7         NUMBER                          2
7         BASIC_OPERATOR_ADD              ADD
7         NUMBER                          1
7         BASIC_OPERATOR_ADD              ADD
7         NUMBER                          1
7         NUMBER                          2
7         END_OF_STATEMENT                EOS
8         BASIC_OPERATOR_ADD              ADD
8         BASIC_OPERATOR_ADD              ADD
8         NUMBER                          1
8         BASIC_OPERATOR_ADD              ADD
8         NUMBER                          1
8         BASIC_OPERATOR_ADD              ADD
8         NUMBER                          1
8         NUMBER                          2
8         BASIC_OPERATOR_ADD              ADD
8         NUMBER                          1
8         BASIC_OPERATOR_ADD              ADD
8         NUMBER                          1
8         BASIC_OPERATOR_ADD              ADD
8         NUMBER                          1
8         NUMBER                          2
8         END_OF_STATEMENT                EOS
9         END_OF_STATEMENT                EOS
10        BASIC_OPERATOR_SUB              SUB
10        NUMBER                          1
10        BASIC_OPERATOR_SUB              SUB
10        NUMBER                          1
10        NUMBER                          2
10        END_OF_STATEMENT                EOS
11        BASIC_OPERATOR_SUB              SUB
11        NUMBER                          1
11        BASIC_OPERATOR_SUB              SUB
11        NUMBER                          1
11        BASIC_OPERATOR_SUB              SUB
11        NUMBER                          1
11        NUMBER                          2
11        END_OF_STATEMENT                EOS
12        BASIC_OPERATOR_SUB              SUB
12        NUMBER                          1
12        BASIC_OPERATOR_SUB              SUB
12        NUMBER                          1
12        BASIC_OPERATOR_SUB              SUB
12        NUMBER                          1
12        BASIC_OPERATOR_SUB              SUB
12        NUMBER                          1
12        NUMBER                          2
12        END_OF_STATEMENT                EOS
13        BASIC_OPERATOR_SUB              SUB
13        BASIC_OPERATOR_SUB              SUB
13        NUMBER                          1
13        NUMBER                          2
13        BASIC_OPERATOR_SUB              SUB
13        NUMBER                          1
13        NUMBER                          2
13        END_OF_STATEMENT                EOS
14        BASIC_OPERATOR_SUB              SUB
14        BASIC_OPERATOR_SUB              SUB
14        NUMBER                          1
14        NUMBER                          2
14        BASIC_OPERATOR_SUB              SUB
14        NUMBER                          1
14        BASIC_OPERATOR_SUB              SUB
14        NUMBER                          1
14        NUMBER                          2
14        END_OF_STATEMENT                EOS
15        BASIC_OPERATOR_SUB              SUB
15        BASIC_OPERATOR_SUB              SUB
15        NUMBER                          1
15        BASIC_OPERATOR_SUB              SUB
15        NUMBER                          1
15        NUMBER                          2
15        BASIC_OPERATOR_SUB              SUB
15        NUMBER                          1
15        BASIC_OPERATOR_SUB              SUB
15        NUMBER                          1
15        NUMBER                          2
15        END_OF_STATEMENT                EOS
16        BASIC_OPERATOR_SUB              SUB
16        BASIC_OPERATOR_SUB              SUB
16        NUMBER                          1
16        BASIC_OPERATOR_SUB              SUB
16        NUMBER                          1
16        BASIC_OPERATOR_SUB              SUB
16        NUMBER                          1
16        NUMBER                          2
16        BASIC_OPERATOR_SUB              SUB
16        NUMBER                          1
16        BASIC_OPERATOR_SUB              SUB
16        NUMBER                          1
16        BASIC_OPERATOR_SUB              SUB
16        NUMBER                          1
16        NUMBER                          2
16        END_OF_STATEMENT                EOS
17        END_OF_STATEMENT                EOS
18        BASIC_OPERATOR_MUL              MUL
18        NUMBER                          1
18        BASIC_OPERATOR_MUL              MUL
18        NUMBER                          1
18        NUMBER                          2
18        END_OF_STATEMENT                EOS
19        BASIC_OPERATOR_MUL              MUL
19        NUMBER                          1
19        BASIC_OPERATOR_MUL              MUL
19        NUMBER                          1
19        BASIC_OPERATOR_MUL              MUL
19        NUMBER                          1
19        NUMBER                          2
19        END_OF_STATEMENT                EOS
20        BASIC_OPERATOR_MUL              MUL
20        NUMBER                          1
20        BASIC_OPERATOR_MUL              MUL
20        NUMBER                          1
20        BASIC_OPERATOR_MUL              MUL
20        NUMBER                          1
20        BASIC_OPERATOR_MUL              MUL
20        NUMBER                          1
20        NUMBER                          2
20        END_OF_STATEMENT                EOS
21        BASIC_OPERATOR_MUL              MUL
21        BASIC_OPERATOR_MUL              MUL
21        NUMBER                          1
21        NUMBER                          2
21        BASIC_OPERATOR_MUL              MUL
21        NUMBER                          1
21        NUMBER                          2
21        END_OF_STATEMENT                EOS
22        BASIC_OPERATOR_MUL              MUL
22        BASIC_OPERATOR_MUL              MUL
22        NUMBER                          1
22        NUMBER                          2
22        BASIC_OPERATOR_MUL              MUL
22        NUMBER                          1
22        BASIC_OPERATOR_MUL              MUL
22        NUMBER                          1
22        NUMBER                          2
22        END_OF_STATEMENT                EOS
23        BASIC_OPERATOR_MUL              MUL
23        BASIC_OPERATOR_MUL              MUL
23        NUMBER                          1
23        BASIC_OPERATOR_MUL              MUL
23        NUMBER                          1
23        NUMBER                          2
23        BASIC_OPERATOR_MUL              MUL
23        NUMBER                          1
23        BASIC_OPERATOR_MUL              MUL
23        NUMBER                          1
23        NUMBER                          2
23        END_OF_STATEMENT                EOS
24        BASIC_OPERATOR_MUL              MUL
24        BASIC_OPERATOR_MUL              MUL
24        NUMBER                          1
24        BASIC_OPERATOR_MUL              MUL
24        NUMBER                          1
